2019-02-17 14:46:05.455 [restartedMain] INFO  c.lzhao.firstspringboot.FirstspringbootApplication - Starting FirstspringbootApplication on lzhao-mbp with PID 45259 (/Users/lzhao/Documents/my_git/java/springbootLearn/firstSpringboot/target/classes started by lzhao in /Users/lzhao/Documents/my_git/java/springbootLearn/firstSpringboot)
2019-02-17 14:46:05.459 [restartedMain] DEBUG c.lzhao.firstspringboot.FirstspringbootApplication - Running with Spring Boot v2.1.2.RELEASE, Spring v5.1.4.RELEASE
2019-02-17 14:46:05.460 [restartedMain] INFO  c.lzhao.firstspringboot.FirstspringbootApplication - The following profiles are active: dev
2019-02-17 14:46:05.505 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-02-17 14:46:05.505 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-02-17 14:46:06.738 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2019-02-17 14:46:06.763 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-02-17 14:46:06.764 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.14]
2019-02-17 14:46:06.770 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/lzhao/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2019-02-17 14:46:06.837 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-02-17 14:46:06.837 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1332 ms
2019-02-17 14:46:07.096 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-02-17 14:46:07.306 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-02-17 14:46:07.354 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2019-02-17 14:46:07.359 [restartedMain] INFO  c.lzhao.firstspringboot.FirstspringbootApplication - Started FirstspringbootApplication in 2.321 seconds (JVM running for 3.518)
2019-02-17 14:46:11.183 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-02-17 14:46:11.184 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-02-17 14:46:11.193 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2019-02-17 14:48:32.400 [Thread-8] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
